Date,AAPL,MSFT,TLT,VNQ,SPY
2019-01-02,37.57519912719727,94.7896957397461,102.4181900024414,57.16998291015625,226.28579711914065
2019-01-03,33.83244323730469,91.30254364013672,103.58366394042967,57.56967926025391,220.885986328125
2019-01-04,35.2767219543457,95.54896545410156,102.38465881347656,58.2436408996582,228.28469848632807
2019-01-07,35.19820022583008,95.67084503173828,102.0827865600586,58.81574630737305,230.08462524414065
2019-01-08,35.86919021606445,96.36449432373048,101.81450653076172,60.03043365478516,232.24639892578125
2019-01-09,36.478309631347656,97.74246215820312,101.65518188476562,59.9442253112793,233.331771850586
2019-01-10,36.59490585327149,97.11443328857422,101.00115966796876,60.75929260253906,234.15484619140625
2019-01-11,36.23561477661133,96.36449432373048,101.39524841308594,60.93168258666992,234.24533081054688
2019-01-14,35.69074630737305,95.66146087646484,101.01798248291016,60.727909088134766,232.81626892089844
2019-01-15,36.42121505737305,98.43617248535156,100.64904022216795,61.30784225463867,235.4844665527344
2019-01-16,36.86615753173828,98.78298950195312,100.74964904785156,61.7388801574707,236.0543212890625
2019-01-17,37.08504867553711,99.47669219970705,100.77481079101562,62.03668212890625,237.8451538085937
2019-01-18,37.3134765625,100.96713256835938,100.24657440185548,62.24826431274414,241.0109405517578
2019-01-22,36.47593688964844,99.06421661376952,100.9257354736328,62.060203552246094,237.7547149658203
2019-01-23,36.62345886230469,100.0297393798828,100.88380432128906,62.06803512573242,238.2522735595703
2019-01-24,36.33316802978516,99.55166625976562,101.54621124267578,62.27962875366211,238.37887573242188
2019-01-25,37.53713607788086,100.4609375,101.05989074707033,63.05547332763672,240.3958282470703
2019-01-28,37.18974304199219,98.50179290771484,100.95924377441406,63.67459487915039,238.5688018798828
2019-01-29,36.80429458618164,96.49574279785156,101.47071075439452,64.1761245727539,238.2522735595703
2019-01-30,39.31929016113281,99.72037506103516,101.39524841308594,64.69338989257812,242.02395629882807
2019-01-31,39.60243606567383,97.89246368408205,102.26728057861328,65.36734771728516,244.14947509765625
2019-02-01,39.62148284912109,96.34574127197266,101.64959716796876,64.95199584960938,244.26705932617188
2019-02-04,40.74692153930664,99.12045288085938,101.19581604003906,65.43785858154297,245.985595703125
2019-02-05,41.444091796875,100.50780487060548,101.65803527832033,65.81404876708984,247.0166931152344
2019-02-06,41.45835876464844,99.39230346679688,101.70842742919922,65.38304138183594,246.6911163330078
2019-02-07,40.67316055297852,98.67987823486328,102.3807373046875,65.92377471923828,244.33950805664065
2019-02-08,40.72095489501953,99.05484008789062,102.81771850585938,65.92377471923828,244.6378936767578
2019-02-11,40.48678588867188,98.66114807128906,102.41433715820312,66.10403442382812,244.7735748291016
2019-02-12,40.83565139770508,100.19847869873048,102.1538314819336,65.68865203857422,247.9212646484375
2019-02-13,40.66598510742188,100.12346649169922,101.76726531982422,66.02566528320312,248.72618103027344
2019-02-14,40.81414794921875,100.20783233642578,102.34709930419922,66.23725128173828,248.17449951171875
2019-02-15,40.72334289550781,101.44522857666016,102.50679779052734,66.6839599609375,250.87892150878903
2019-02-19,40.845211029052734,101.39835357666016,102.76728057861328,66.66827392578125,251.3130340576172
2019-02-20,41.10806274414063,100.87115478515624,102.47313690185548,66.25291442871094,251.81967163085932
2019-02-21,40.87628555297852,102.99871826171876,101.55715942382812,66.31561279296875,250.92416381835932
2019-02-22,41.33268737792969,104.46730041503906,102.16223907470705,66.70745086669922,252.47982788085932
2019-02-25,41.633785247802734,105.05097198486328,101.85968780517578,66.18238067626953,252.82354736328125
2019-02-26,41.65767288208008,105.77584838867188,102.36392211914062,65.9786376953125,252.6426544189453
2019-02-27,41.78671646118164,105.59697723388672,101.2042236328125,65.64946746826172,252.53421020507807
2019-02-28,41.37569427490234,105.46517944335938,100.8596649169922,65.8218765258789,252.06382751464844
2019-03-01,41.81061172485352,105.93589782714844,99.92742919921876,65.6181411743164,253.63766479492188
2019-03-04,42.02089309692383,105.68170928955078,100.71060943603516,65.91594696044922,252.7151336669922
2019-03-05,41.94443893432617,105.15452575683594,100.92118072509766,66.09618377685547,252.37136840820312
2019-03-06,41.703086853027344,105.20160675048828,101.2917022705078,65.79054260253906,250.84280395507807
2019-03-07,41.22038269042969,103.92129516601562,101.94851684570312,65.64946746826172,248.74429321289065
2019-03-08,41.31835174560547,104.03425598144533,102.37803649902344,65.7199935913086,248.24688720703125
2019-03-11,42.74972534179688,106.21831512451172,102.07484436035156,66.6839599609375,251.8467254638672
2019-03-12,43.23002624511719,106.96202087402344,102.7906723022461,66.98956298828125,252.7964782714844
2019-03-13,43.42119216918945,107.79045104980467,102.59698486328124,67.31871795654297,254.46978759765625
2019-03-14,43.90389251708984,107.87518310546876,101.8559112548828,67.42059326171875,254.30691528320312
2019-03-15,44.47500228881836,109.11782836914062,102.52960968017578,67.2090072631836,255.56333923339844
2019-03-18,44.92901992797852,110.68055725097656,102.47068786621094,66.87202453613281,256.4900817871094
2019-03-19,44.57295989990234,110.75589752197266,102.24325561523438,66.66827392578125,256.5536804199219
2019-03-20,44.96247863769531,110.63347625732422,103.3127670288086,66.87202453613281,255.7814483642578
2019-03-21,46.61845016479492,113.17527770996094,103.54016876220705,68.06324005126953,258.6703491210937
2019-03-22,45.6530647277832,110.19102478027344,105.14865112304688,67.56951141357422,253.69192504882807
2019-03-25,45.10108184814453,110.7652816772461,105.3170928955078,67.65573120117188,253.50108337402344
2019-03-26,44.63509750366211,111.0006332397461,105.24128723144533,68.19645690917969,255.39073181152344
2019-03-27,45.03655624389648,109.92743682861328,106.20973205566406,68.00054931640625,254.0553131103516
