Date,SPY
2019-01-02,226.28579711914065
2019-01-03,220.885986328125
2019-01-04,228.28469848632807
2019-01-07,230.08462524414065
2019-01-08,232.24639892578125
2019-01-09,233.33177185058597
2019-01-10,234.15484619140625
2019-01-11,234.24533081054688
2019-01-14,232.81626892089844
2019-01-15,235.4844665527344
2019-01-16,236.0543212890625
2019-01-17,237.84515380859372
2019-01-18,241.0109405517578
2019-01-22,237.7547149658203
2019-01-23,238.2522735595703
2019-01-24,238.37887573242188
2019-01-25,240.3958282470703
2019-01-28,238.5688018798828
2019-01-29,238.2522735595703
2019-01-30,242.02395629882807
2019-01-31,244.14947509765625
2019-02-01,244.26705932617188
2019-02-04,245.985595703125
2019-02-05,247.0166931152344
2019-02-06,246.6911163330078
2019-02-07,244.33950805664065
2019-02-08,244.6378936767578
2019-02-11,244.7735748291016
2019-02-12,247.9212646484375
2019-02-13,248.72618103027344
2019-02-14,248.17449951171875
2019-02-15,250.87892150878903
2019-02-19,251.3130340576172
2019-02-20,251.81967163085935
2019-02-21,250.92416381835935
2019-02-22,252.47982788085935
2019-02-25,252.82354736328125
2019-02-26,252.6426544189453
2019-02-27,252.53421020507807
2019-02-28,252.06382751464844
2019-03-01,253.63766479492188
2019-03-04,252.7151336669922
2019-03-05,252.37136840820312
2019-03-06,250.84280395507807
2019-03-07,248.74429321289065
2019-03-08,248.24688720703125
2019-03-11,251.8467254638672
2019-03-12,252.7964782714844
2019-03-13,254.46978759765625
2019-03-14,254.30691528320312
2019-03-15,255.56333923339844
2019-03-18,256.4900817871094
2019-03-19,256.5536804199219
2019-03-20,255.7814483642578
2019-03-21,258.6703491210937
2019-03-22,253.69192504882807
2019-03-25,253.50108337402344
2019-03-26,255.39073181152344
2019-03-27,254.0553131103516
2019-03-28,255.01834106445312
2019-03-29,256.62628173828125
2019-04-01,259.6696472167969
2019-04-02,259.796875
2019-04-03,260.2057189941406
2019-04-04,260.8960876464844
2019-04-05,262.1589050292969
2019-04-08,262.3587646484375
2019-04-09,261.01422119140625
2019-04-10,261.9045104980469
2019-04-11,261.83172607421875
2019-04-12,263.6033630371094
2019-04-15,263.4308166503906
2019-04-16,263.6033630371094
2019-04-17,262.9584045410156
2019-04-18,263.4761047363281
2019-04-22,263.70330810546875
2019-04-23,266.0744323730469
2019-04-24,265.48394775390625
2019-04-25,265.3203430175781
2019-04-26,266.55596923828125
2019-04-29,266.973876953125
2019-04-30,267.110107421875
2019-05-01,265.10235595703125
2019-05-02,264.5299987792969
2019-05-03,267.1191101074219
2019-05-06,266.0198974609375
2019-05-07,261.57745361328125
2019-05-08,261.2140808105469
2019-05-09,260.4237365722656
2019-05-10,261.73193359375
2019-05-13,255.15463256835935
2019-05-14,257.46209716796875
2019-05-15,258.9701232910156
2019-05-16,261.3685302734375
2019-05-17,259.6787109375
2019-05-20,257.9618225097656
2019-05-21,260.28741455078125
2019-05-22,259.4880065917969
2019-05-23,256.31744384765625
2019-05-24,256.8988342285156
2019-05-28,254.50950622558597
2019-05-29,252.80160522460935
2019-05-30,253.49208068847656
2019-05-31,250.076171875
2019-06-03,249.4402313232422
2019-06-04,254.854736328125
2019-06-05,257.0623474121094
2019-06-06,258.73394775390625
2019-06-07,261.3230895996094
2019-06-10,262.5222473144531
2019-06-11,262.4586486816406
2019-06-12,261.99542236328125
2019-06-13,263.07647705078125
2019-06-14,262.7857971191406
2019-06-17,262.8856506347656
2019-06-18,265.6383056640625
2019-06-19,266.2379455566406
2019-06-20,268.7816772460937
2019-06-21,268.39093017578125
2019-06-24,268.0624084472656
2019-06-25,265.4331970214844
2019-06-26,265.1684265136719
2019-06-27,266.1087951660156
2019-06-28,267.4780578613281
2019-07-01,269.9064025878906
2019-07-02,270.6093444824219
2019-07-03,272.7728576660156
2019-07-05,272.4625549316406
2019-07-08,270.9653015136719
2019-07-09,271.3031005859375
2019-07-10,272.5994567871094
2019-07-11,273.2384033203125
2019-07-12,274.4617919921875
2019-07-15,274.5530700683594
2019-07-16,273.6675109863281
2019-07-17,271.8050537109375
2019-07-18,272.8002319335937
2019-07-19,271.28497314453125
2019-07-22,271.95123291015625
2019-07-23,273.89569091796875
2019-07-24,275.1829528808594
2019-07-25,273.8683776855469
2019-07-26,275.7032470703125
2019-07-29,275.2012023925781
2019-07-30,274.52569580078125
2019-07-31,271.522216796875
2019-08-01,269.1577453613281
2019-08-02,267.13116455078125
2019-08-05,259.0976867675781
2019-08-06,262.73101806640625
2019-08-07,262.8862609863281
2019-08-08,268.0440979003906
2019-08-09,266.21832275390625
2019-08-12,262.9775695800781
2019-08-13,267.0672607421875
2019-08-14,259.17071533203125
2019-08-15,259.8554382324219
2019-08-16,263.6895446777344
2019-08-19,266.8664855957031
2019-08-20,264.8215637207031
2019-08-21,266.9760131835937
2019-08-22,266.893798828125
2019-08-23,260.0380249023437
2019-08-26,262.9136657714844
2019-08-27,261.88201904296875
2019-08-28,263.7261047363281
2019-08-29,267.0947265625
2019-08-30,266.9760131835937
2019-09-03,265.4149780273437
2019-09-04,268.4275207519531
2019-09-05,271.8782653808594
2019-09-06,272.08819580078125
2019-09-09,272.2251281738281
2019-09-10,272.16119384765625
2019-09-11,274.09649658203125
2019-09-12,275.0459289550781
2019-09-13,274.86328125
2019-09-16,274.0143737792969
2019-09-17,274.7082824707031
2019-09-18,274.8725280761719
2019-09-19,274.8541564941406
2019-09-20,273.5556945800781
2019-09-23,273.49151611328125
2019-09-24,271.34539794921875
2019-09-25,272.95037841796875
2019-09-26,272.3816833496094
2019-09-27,270.914306640625
