Date,MSFT
2019-01-02,94.7896957397461
2019-01-03,91.30254364013672
2019-01-04,95.54896545410156
2019-01-07,95.67084503173828
2019-01-08,96.36449432373048
2019-01-09,97.74246215820312
2019-01-10,97.11443328857422
2019-01-11,96.36449432373048
2019-01-14,95.66146087646484
2019-01-15,98.43617248535156
2019-01-16,98.78298950195312
2019-01-17,99.47669219970705
2019-01-18,100.96713256835938
2019-01-22,99.06421661376952
2019-01-23,100.0297393798828
2019-01-24,99.55166625976562
2019-01-25,100.4609375
2019-01-28,98.50179290771484
2019-01-29,96.49574279785156
2019-01-30,99.72037506103516
2019-01-31,97.89246368408205
2019-02-01,96.34574127197266
2019-02-04,99.12045288085938
2019-02-05,100.50780487060548
2019-02-06,99.39230346679688
2019-02-07,98.67987823486328
2019-02-08,99.05484008789062
2019-02-11,98.66114807128906
2019-02-12,100.19847869873048
2019-02-13,100.12346649169922
2019-02-14,100.20783233642578
2019-02-15,101.44522857666016
2019-02-19,101.39835357666016
2019-02-20,100.87115478515624
2019-02-21,102.99871826171876
2019-02-22,104.46730041503906
2019-02-25,105.05097198486328
2019-02-26,105.77584838867188
2019-02-27,105.59697723388672
2019-02-28,105.46517944335938
2019-03-01,105.93589782714844
2019-03-04,105.68170928955078
2019-03-05,105.15452575683594
2019-03-06,105.20160675048828
2019-03-07,103.92129516601562
2019-03-08,104.03425598144533
2019-03-11,106.21831512451172
2019-03-12,106.96202087402344
2019-03-13,107.79045104980467
2019-03-14,107.87518310546876
2019-03-15,109.11782836914062
2019-03-18,110.68055725097656
2019-03-19,110.75589752197266
2019-03-20,110.63347625732422
2019-03-21,113.17527770996094
2019-03-22,110.19102478027344
2019-03-25,110.7652816772461
2019-03-26,111.0006332397461
2019-03-27,109.92743682861328
2019-03-28,110.07806396484376
2019-03-29,111.02887725830078
2019-04-01,112.04557800292967
2019-04-02,112.20562744140624
2019-04-03,112.93992614746094
2019-04-04,112.36566162109376
2019-04-05,112.86458587646484
2019-04-08,112.90225982666016
2019-04-09,112.29035949707033
2019-04-10,113.14701080322266
2019-04-11,113.27881622314452
2019-04-12,113.86248779296876
2019-04-15,113.95664978027344
2019-04-16,113.6930160522461
2019-04-17,114.6344223022461
2019-04-18,116.1406707763672
2019-04-22,116.5078125
2019-04-23,118.0893783569336
2019-04-24,117.6845932006836
2019-04-25,121.58196258544922
2019-04-26,122.27862548828124
2019-04-29,122.16565704345705
2019-04-30,122.94701385498048
2019-05-01,120.38640594482422
2019-05-02,118.81426239013672
2019-05-03,121.34661865234376
2019-05-06,120.64056396484376
2019-05-07,118.16468048095705
2019-05-08,118.1552963256836
2019-05-09,118.1458740234375
2019-05-10,119.68036651611328
2019-05-13,116.1218490600586
2019-05-14,117.42098999023438
2019-05-15,119.07453155517578
2019-05-16,121.82416534423828
2019-05-17,121.01155853271484
2019-05-20,119.26351165771484
2019-05-21,119.90604400634766
2019-05-22,120.6335906982422
2019-05-23,119.22572326660156
2019-05-24,119.28241729736328
2019-05-28,119.20681762695312
2019-05-29,118.05406188964844
2019-05-30,118.80054473876952
2019-05-31,116.86351013183594
2019-06-03,113.2351303100586
2019-06-04,116.37217712402344
2019-06-05,118.89502716064452
2019-06-06,120.77536010742188
2019-06-07,124.1580047607422
2019-06-10,125.29190063476562
2019-06-11,124.8194580078125
2019-06-12,124.24308013916016
2019-06-13,125.02731323242188
2019-06-14,125.15013122558594
2019-06-17,125.52814483642578
2019-06-18,127.71080780029295
2019-06-19,128.2115936279297
2019-06-20,129.4021453857422
2019-06-21,129.42105102539062
2019-06-24,130.18638610839844
2019-06-25,126.0761260986328
2019-06-26,126.54861450195312
2019-06-27,126.75643920898438
2019-06-28,126.57698059082033
2019-07-01,128.2021484375
2019-07-02,129.05252075195312
2019-07-03,129.88404846191406
2019-07-05,129.506103515625
2019-07-08,129.41160583496094
2019-07-09,128.9391632080078
2019-07-10,130.2525634765625
2019-07-11,130.772216796875
2019-07-12,131.2447052001953
2019-07-15,131.2447052001953
2019-07-16,129.5249481201172
2019-07-17,128.75965881347656
2019-07-18,128.9013671875
2019-07-19,129.0903778076172
2019-07-22,130.80059814453125
2019-07-23,131.61317443847656
2019-07-24,132.96435546875
2019-07-25,132.46356201171875
2019-07-26,133.55018615722656
2019-07-29,133.2572784423828
2019-07-30,132.61477661132812
2019-07-31,128.75965881347656
2019-08-01,130.45098876953125
2019-08-02,129.35487365722656
2019-08-05,124.9233856201172
2019-08-06,127.26670837402344
2019-08-07,127.8241729736328
2019-08-08,131.2351837158203
2019-08-09,130.12025451660156
2019-08-12,128.3060302734375
2019-08-13,130.96124267578125
2019-08-14,127.0173797607422
2019-08-15,126.73296356201172
2019-08-16,129.0556640625
2019-08-19,131.21719360351562
2019-08-20,130.12698364257812
2019-08-21,131.57742309570312
2019-08-22,130.61990356445312
2019-08-23,126.4580535888672
