Date,AAPL
2019-01-02,37.57519912719727
2019-01-03,33.83244323730469
2019-01-04,35.2767219543457
2019-01-07,35.19820022583008
2019-01-08,35.86919021606445
2019-01-09,36.478309631347656
2019-01-10,36.59490585327149
2019-01-11,36.23561477661133
2019-01-14,35.69074630737305
2019-01-15,36.42121505737305
2019-01-16,36.86615753173828
2019-01-17,37.08504867553711
2019-01-18,37.3134765625
2019-01-22,36.47593688964844
2019-01-23,36.62345886230469
2019-01-24,36.33316802978516
2019-01-25,37.53713607788086
2019-01-28,37.18974304199219
2019-01-29,36.80429458618164
2019-01-30,39.31929016113281
2019-01-31,39.60243606567383
2019-02-01,39.62148284912109
2019-02-04,40.74692153930664
2019-02-05,41.444091796875
2019-02-06,41.45835876464844
2019-02-07,40.67316055297852
2019-02-08,40.72095489501953
2019-02-11,40.48678588867188
2019-02-12,40.83565139770508
2019-02-13,40.66598510742188
2019-02-14,40.81414794921875
2019-02-15,40.72334289550781
2019-02-19,40.845211029052734
2019-02-20,41.10806274414063
2019-02-21,40.87628555297852
2019-02-22,41.33268737792969
2019-02-25,41.633785247802734
2019-02-26,41.65767288208008
2019-02-27,41.78671646118164
2019-02-28,41.37569427490234
2019-03-01,41.81061172485352
2019-03-04,42.02089309692383
2019-03-05,41.94443893432617
2019-03-06,41.703086853027344
2019-03-07,41.22038269042969
2019-03-08,41.31835174560547
2019-03-11,42.74972534179688
2019-03-12,43.23002624511719
2019-03-13,43.42119216918945
2019-03-14,43.90389251708984
2019-03-15,44.47500228881836
2019-03-18,44.92901992797852
2019-03-19,44.57295989990234
2019-03-20,44.96247863769531
2019-03-21,46.61845016479492
2019-03-22,45.6530647277832
2019-03-25,45.10108184814453
2019-03-26,44.63509750366211
2019-03-27,45.03655624389648
2019-03-28,45.096282958984375
2019-03-29,45.39021301269531
2019-04-01,45.69846725463867
2019-04-02,46.362770080566406
2019-04-03,46.68059158325195
2019-04-04,46.7618293762207
2019-04-05,47.07486724853516
2019-04-08,47.81563949584961
2019-04-09,47.67226791381836
2019-04-10,47.93989944458008
2019-04-11,47.54084396362305
2019-04-12,47.52172088623047
2019-04-15,47.60774612426758
2019-04-16,47.612525939941406
2019-04-17,48.53969192504883
2019-04-18,48.7141227722168
2019-04-22,48.87422180175781
2019-04-23,49.57915878295898
2019-04-24,49.502689361572266
2019-04-25,49.05343627929688
2019-04-26,48.81926345825195
2019-04-29,48.89334487915039
2019-04-30,47.95185089111328
2019-05-01,50.30559539794922
2019-05-02,49.978214263916016
2019-05-03,50.59951019287109
2019-05-06,49.818115234375
2019-05-07,48.47516632080078
2019-05-08,48.48472213745117
2019-05-09,47.96379470825195
2019-05-10,47.2993392944336
2019-05-13,44.55031967163086
2019-05-14,45.25556564331055
2019-05-15,45.79768753051758
2019-05-16,45.59619903564453
2019-05-17,45.33712768554688
2019-05-20,43.91944122314453
2019-05-21,44.76141357421875
2019-05-22,43.84507369995117
2019-05-23,43.09665298461914
2019-05-24,42.93113327026367
2019-05-28,42.75363540649414
2019-05-29,42.54973220825195
2019-05-30,42.77042770385742
2019-05-31,41.99560928344727
2019-06-03,41.57102584838867
2019-06-04,43.09185028076172
2019-06-05,43.78749847412109
2019-06-06,44.43037033081055
2019-06-07,45.612979888916016
2019-06-10,46.19588851928711
2019-06-11,46.73081588745117
2019-06-12,46.58209609985352
2019-06-13,46.57250213623047
2019-06-14,46.23427200317383
2019-06-17,46.510135650634766
2019-06-18,47.60397720336914
2019-06-19,47.46484756469727
2019-06-20,47.84626007080078
2019-06-21,47.683135986328125
2019-06-24,47.63515853881836
2019-06-25,46.91313552856445
2019-06-26,47.92781448364258
2019-06-27,47.91342544555664
2019-06-28,47.476844787597656
2019-07-01,48.34760665893555
2019-07-02,48.63066101074219
2019-07-03,49.03364944458008
2019-07-05,48.99047470092773
2019-07-08,47.9805908203125
2019-07-09,48.27323532104492
2019-07-10,48.75059509277344
2019-07-11,48.39556884765625
2019-07-12,48.76737594604492
2019-07-15,49.225563049316406
2019-07-16,49.05524826049805
2019-07-17,48.779388427734375
2019-07-18,49.3335075378418
2019-07-19,48.59707260131836
2019-07-22,49.707706451416016
2019-07-23,50.09632110595703
2019-07-24,50.05553436279297
2019-07-25,49.65974426269531
2019-07-26,49.832462310791016
2019-07-29,50.29782104492188
2019-07-30,50.0819206237793
2019-07-31,51.10380172729492
2019-08-01,49.99795913696289
2019-08-02,48.94010162353516
2019-08-05,46.37819290161133
2019-08-06,47.25615310668945
2019-08-07,47.74549865722656
2019-08-08,48.79857635498047
2019-08-09,48.396461486816406
2019-08-12,48.27363586425781
2019-08-13,50.31795883178711
2019-08-14,48.82024383544922
2019-08-15,48.5770378112793
2019-08-16,49.72320556640625
2019-08-19,50.65024566650391
2019-08-20,50.65266799926758
2019-08-21,51.20166778564453
2019-08-22,51.158321380615234
2019-08-23,48.79376220703125
2019-08-26,49.72080612182617
2019-08-27,49.159767150878906
2019-08-28,49.48963928222656
2019-08-29,50.32758331298828
2019-08-30,50.262577056884766
2019-09-03,49.530574798583984
2019-09-04,50.37093353271485
2019-09-05,51.355770111083984
2019-09-06,51.35094833374024
2019-09-09,51.57006072998047
2019-09-10,52.17926788330078
2019-09-11,53.83831405639648
2019-09-12,53.71792984008789
2019-09-13,52.672882080078125
2019-09-16,52.94980239868164
2019-09-17,53.14243698120117
2019-09-18,53.640872955322266
2019-09-19,53.205039978027344
2019-09-20,52.42728042602539
2019-09-23,52.665672302246094
2019-09-24,52.41524124145508
2019-09-25,53.22189331054688
2019-09-26,52.94739532470703
