Date,TLT
2019-01-02,102.4181900024414
2019-01-03,103.58366394042967
2019-01-04,102.38465881347656
2019-01-07,102.0827865600586
2019-01-08,101.81450653076172
2019-01-09,101.65518188476562
2019-01-10,101.00115966796876
2019-01-11,101.39524841308594
2019-01-14,101.01798248291016
2019-01-15,100.64904022216795
2019-01-16,100.74964904785156
2019-01-17,100.77481079101562
2019-01-18,100.24657440185548
2019-01-22,100.9257354736328
2019-01-23,100.88380432128906
2019-01-24,101.54621124267578
2019-01-25,101.05989074707033
2019-01-28,100.95924377441406
2019-01-29,101.47071075439452
2019-01-30,101.39524841308594
2019-01-31,102.26728057861328
2019-02-01,101.64959716796876
2019-02-04,101.19581604003906
2019-02-05,101.65803527832033
2019-02-06,101.70842742919922
2019-02-07,102.3807373046875
2019-02-08,102.81771850585938
2019-02-11,102.41433715820312
2019-02-12,102.1538314819336
2019-02-13,101.76726531982422
2019-02-14,102.34709930419922
2019-02-15,102.50679779052734
2019-02-19,102.76728057861328
2019-02-20,102.47313690185548
2019-02-21,101.55715942382812
2019-02-22,102.16223907470705
2019-02-25,101.85968780517578
2019-02-26,102.36392211914062
2019-02-27,101.2042236328125
2019-02-28,100.8596649169922
2019-03-01,99.92742919921876
2019-03-04,100.71060943603516
2019-03-05,100.92118072509766
2019-03-06,101.2917022705078
2019-03-07,101.94851684570312
2019-03-08,102.37803649902344
2019-03-11,102.07484436035156
2019-03-12,102.7906723022461
2019-03-13,102.59698486328124
2019-03-14,101.8559112548828
2019-03-15,102.52960968017578
2019-03-18,102.47068786621094
2019-03-19,102.24325561523438
2019-03-20,103.3127670288086
2019-03-21,103.54016876220705
2019-03-22,105.14865112304688
2019-03-25,105.3170928955078
2019-03-26,105.24128723144533
2019-03-27,106.20973205566406
2019-03-28,106.5802764892578
2019-03-29,106.47923278808594
2019-04-01,104.96680450439452
2019-04-02,105.16088104248048
2019-04-03,104.24942016601562
2019-04-04,104.54480743408205
2019-04-05,104.6798095703125
2019-04-08,104.30846405029295
2019-04-09,104.63765716552734
2019-04-10,104.8908233642578
2019-04-11,104.27471923828124
2019-04-12,103.5320053100586
2019-04-15,103.79364776611328
2019-04-16,103.1437759399414
2019-04-17,103.18597412109376
2019-04-18,103.72615814208984
2019-04-22,103.22818756103516
2019-04-23,103.4476318359375
2019-04-24,104.2916030883789
2019-04-25,104.13970947265624
2019-04-26,104.4941864013672
2019-04-29,103.82740020751952
2019-04-30,104.35914611816406
2019-05-01,104.78963470458984
2019-05-02,104.29061889648438
2019-05-03,104.58663940429688
2019-05-06,104.87419891357422
2019-05-07,105.67767333984376
2019-05-08,105.22095489501952
2019-05-09,105.65227508544922
2019-05-10,105.50851440429688
2019-05-13,106.33738708496094
2019-05-14,106.02442932128906
2019-05-15,106.67566680908205
2019-05-16,106.32044219970705
2019-05-17,106.55722045898438
2019-05-20,106.33738708496094
2019-05-21,106.16819763183594
2019-05-22,106.77711486816406
2019-05-23,107.9781265258789
2019-05-24,108.07115173339844
2019-05-28,108.84921264648438
2019-05-29,109.17909240722656
2019-05-30,110.11788940429688
2019-05-31,111.49649810791016
2019-06-03,112.24231719970705
2019-06-04,110.96255493164062
2019-06-05,110.33539581298828
2019-06-06,110.6913604736328
2019-06-07,111.6490249633789
2019-06-10,110.5981674194336
2019-06-11,110.66590881347656
2019-06-12,110.7506866455078
2019-06-13,111.1320571899414
2019-06-14,111.41169738769533
2019-06-17,111.6066436767578
2019-06-18,112.1660385131836
2019-06-19,112.32706451416016
2019-06-20,112.62366485595705
2019-06-21,111.38632202148438
2019-06-24,112.21688842773438
2019-06-25,112.56436157226562
2019-06-26,111.84400939941406
2019-06-27,112.6321258544922
2019-06-28,112.55583953857422
2019-07-01,112.2926025390625
2019-07-02,113.15877532958984
2019-07-03,113.96548461914062
2019-07-05,112.45397186279295
2019-07-08,112.6068115234375
2019-07-09,112.56434631347656
2019-07-10,111.94447326660156
2019-07-11,110.44995880126952
2019-07-12,110.57731628417967
2019-07-15,111.21417999267578
2019-07-16,110.88298034667967
2019-07-17,112.0803451538086
2019-07-18,112.0888214111328
2019-07-19,111.8255615234375
2019-07-22,112.03784942626952
2019-07-23,111.4264678955078
2019-07-24,111.91046905517578
2019-07-25,111.37556457519533
2019-07-26,111.63874816894533
2019-07-29,111.6727294921875
2019-07-30,111.94447326660156
2019-07-31,112.8445816040039
2019-08-01,115.08570861816406
2019-08-02,116.14925384521484
2019-08-05,118.1572265625
2019-08-06,119.10169982910156
2019-08-07,119.14424896240234
2019-08-08,119.39950561523438
2019-08-09,119.16124725341795
2019-08-12,121.64574432373048
2019-08-13,121.2287826538086
2019-08-14,123.96005249023438
2019-08-15,125.33846282958984
2019-08-16,124.33444213867188
2019-08-19,122.5561294555664
2019-08-20,123.82395935058594
2019-08-21,122.99861907958984
2019-08-22,122.18174743652344
2019-08-23,124.1897430419922
2019-08-26,123.68781280517578
2019-08-27,125.5937271118164
2019-08-28,125.7553482055664
2019-08-29,125.27887725830078
2019-08-30,125.3128662109375
2019-09-03,125.47486114501952
2019-09-04,125.662353515625
2019-09-05,123.3865737915039
2019-09-06,124.2644500732422
2019-09-09,122.05686950683594
2019-09-10,119.91748046875
2019-09-11,119.70442962646484
2019-09-12,118.9202880859375
2019-09-13,116.3802490234375
2019-09-16,117.86336517333984
2019-09-17,118.5025863647461
2019-09-18,119.00546264648438
2019-09-19,119.3634796142578
2019-09-20,120.94032287597656
2019-09-23,120.91477966308594
2019-09-24,122.37232208251952
2019-09-25,120.5823211669922
2019-09-26,121.3580322265625
2019-09-27,121.65628814697266
2019-09-30,121.95465087890624
2019-10-01,122.32178497314452
2019-10-02,122.62059020996094
2019-10-03,123.73916625976562
2019-10-04,124.65275573730467
2019-10-07,123.61959838867188
2019-10-08,123.9526596069336
2019-10-09,123.25247955322266
2019-10-10,121.41668701171876
2019-10-11,119.91397094726562
2019-10-14,120.78487396240234
2019-10-15,119.32479095458984
2019-10-16,119.4699249267578
2019-10-17,119.1796646118164
2019-10-18,119.1796646118164
2019-10-21,118.28314208984376
2019-10-22,118.97473907470705
2019-10-23,119.0942611694336
2019-10-24,118.85513305664062
2019-10-25,118.27459716796876
2019-10-28,117.19872283935548
2019-10-29,117.27555084228516
2019-10-30,118.99181365966795
2019-10-31,120.59699249267578
2019-11-01,120.22571563720705
2019-11-04,118.64347076416016
2019-11-05,117.3091049194336
2019-11-06,118.0190200805664
2019-11-07,115.8806610107422
2019-11-08,115.39318084716795
2019-11-11,115.47015380859376
2019-11-12,116.00042724609376
2019-11-13,116.75315856933594
2019-11-14,117.95915985107422
2019-11-15,117.8308334350586
2019-11-18,118.04469299316406
2019-11-19,119.0283203125
2019-11-20,120.26002502441406
2019-11-21,119.50729370117188
2019-11-22,119.6612319946289
2019-11-25,120.01193237304688
2019-11-26,120.71337127685548
2019-11-27,120.36262512207033
2019-11-29,120.1060791015625
2019-12-02,118.5046844482422
2019-12-03,120.98941040039062
2019-12-04,119.78132629394533
2019-12-05,119.19869232177734
2019-12-06,118.53899383544922
2019-12-09,118.79598236083984
2019-12-10,118.80458068847656
2019-12-11,119.73847198486328
2019-12-12,117.76785278320312
2019-12-13,119.13013458251952
2019-12-16,118.05911254882812
2019-12-17,117.89636993408205
2019-12-18,116.92815399169922
2019-12-19,117.11524200439452
2019-12-20,117.26971435546876
2019-12-23,117.0981216430664
2019-12-24,117.43275451660156
2019-12-26,117.71595764160156
2019-12-27,117.84468841552734
2019-12-30,117.4156265258789
2019-12-31,116.26560974121094
2020-01-02,117.57862854003906
2020-01-03,119.38939666748048
2020-01-06,118.71145629882812
2020-01-07,118.12789154052734
2020-01-08,117.34689331054688
2020-01-09,117.75887298583984
2020-01-10,118.8058624267578
2020-01-13,118.44542694091795
2020-01-14,119.05474853515624
2020-01-15,119.84420013427734
2020-01-16,119.46661376953124
2020-01-17,118.44542694091795
2020-01-21,119.6898193359375
2020-01-22,120.11028289794922
2020-01-23,120.95125579833984
2020-01-24,121.92955017089844
2020-01-27,123.826171875
2020-01-28,122.85643768310548
2020-01-29,124.05786895751952
2020-01-30,124.0749740600586
2020-01-31,125.20777130126952
2020-02-03,125.10638427734376
2020-02-04,123.42161560058594
2020-02-05,122.07199096679688
2020-02-06,122.62216186523438
2020-02-07,124.15219116210938
2020-02-10,124.49609375
2020-02-11,123.86862182617188
2020-02-12,123.2410659790039
2020-02-13,123.71385192871094
2020-02-14,124.25543975830078
2020-02-18,125.10638427734376
2020-02-19,125.09783935546876
2020-02-20,126.07777404785156
2020-02-21,127.2554168701172
2020-02-24,129.15512084960938
2020-02-25,129.84283447265625
2020-02-26,129.15512084960938
2020-02-27,130.55630493164062
2020-02-28,133.50469970703125
2020-03-02,132.52244567871094
2020-03-03,134.57997131347656
2020-03-04,133.15093994140625
2020-03-05,136.46524047851562
2020-03-06,143.56748962402344
2020-03-09,147.45860290527344
2020-03-10,139.90013122558594
2020-03-11,134.75213623046875
2020-03-12,135.587158203125
2020-03-13,132.52244567871094
2020-03-16,141.1053009033203
2020-03-17,131.6959991455078
2020-03-18,124.26676940917967
2020-03-19,127.6499481201172
2020-03-20,137.24862670898438
2020-03-23,142.90451049804688
2020-03-24,140.24449157714844
2020-03-25,139.92593383789062
2020-03-26,140.61463928222656
2020-03-27,144.36802673339844
2020-03-30,143.1800537109375
2020-03-31,142.01785278320312
2020-04-01,144.0076141357422
2020-04-02,144.9214630126953
2020-04-03,145.2662811279297
2020-04-06,144.8870391845703
2020-04-07,143.36965942382812
2020-04-08,142.32650756835938
2020-04-09,142.585205078125
2020-04-13,141.2834014892578
2020-04-14,141.24888610839844
2020-04-15,144.99046325683594
2020-04-16,146.6370849609375
2020-04-17,144.6715087890625
2020-04-20,145.83535766601562
2020-04-21,147.67161560058594
2020-04-22,146.1629180908203
2020-04-23,146.93881225585938
