Date,VNQ
2019-01-02,57.16998291015625
2019-01-03,57.56967926025391
2019-01-04,58.2436408996582
2019-01-07,58.81574630737305
2019-01-08,60.03043365478516
2019-01-09,59.9442253112793
2019-01-10,60.75929260253906
2019-01-11,60.93168258666992
2019-01-14,60.727909088134766
2019-01-15,61.30784225463867
2019-01-16,61.7388801574707
2019-01-17,62.03668212890625
2019-01-18,62.24826431274414
2019-01-22,62.060203552246094
2019-01-23,62.06803512573242
2019-01-24,62.27962875366211
2019-01-25,63.05547332763672
2019-01-28,63.67459487915039
2019-01-29,64.1761245727539
2019-01-30,64.69338989257812
2019-01-31,65.36734771728516
2019-02-01,64.95199584960938
2019-02-04,65.43785858154297
2019-02-05,65.81404876708984
2019-02-06,65.38304138183594
2019-02-07,65.92377471923828
2019-02-08,65.92377471923828
2019-02-11,66.10403442382812
2019-02-12,65.68865203857422
2019-02-13,66.02566528320312
2019-02-14,66.23725128173828
2019-02-15,66.6839599609375
2019-02-19,66.66827392578125
2019-02-20,66.25291442871094
2019-02-21,66.31561279296875
2019-02-22,66.70745086669922
2019-02-25,66.18238067626953
2019-02-26,65.9786376953125
2019-02-27,65.64946746826172
2019-02-28,65.8218765258789
2019-03-01,65.6181411743164
2019-03-04,65.91594696044922
2019-03-05,66.09618377685547
2019-03-06,65.79054260253906
2019-03-07,65.64946746826172
2019-03-08,65.7199935913086
2019-03-11,66.6839599609375
2019-03-12,66.98956298828125
2019-03-13,67.31871795654297
2019-03-14,67.42059326171875
2019-03-15,67.2090072631836
2019-03-18,66.87202453613281
2019-03-19,66.66827392578125
2019-03-20,66.87202453613281
2019-03-21,68.06324005126953
2019-03-22,67.56951141357422
2019-03-25,67.65573120117188
2019-03-26,68.19645690917969
2019-03-27,68.00054931640625
2019-03-28,68.66036224365234
2019-03-29,68.59725952148438
2019-04-01,68.55778503417969
2019-04-02,69.03923797607422
2019-04-03,68.96033477783203
2019-04-04,68.84982299804688
2019-04-05,69.3312759399414
2019-04-08,68.94451904296875
2019-04-09,68.58145141601562
2019-04-10,69.212890625
2019-04-11,69.16552734375
2019-04-12,69.49703216552734
2019-04-15,69.14186096191406
2019-04-16,67.57906341552734
2019-04-17,66.96340942382812
2019-04-18,67.47644805908203
2019-04-22,66.7345199584961
2019-04-23,67.61851501464844
2019-04-24,68.11576843261719
2019-04-25,67.97370147705078
2019-04-26,68.51041412353516
2019-04-29,67.83952331542969
2019-04-30,68.48674774169922
2019-05-01,68.54197692871094
2019-05-02,68.61300659179688
2019-05-03,69.19708251953125
2019-05-06,68.97608184814453
2019-05-07,67.72901916503906
2019-05-08,67.65797424316406
2019-05-09,67.8316421508789
2019-05-10,68.55778503417969
2019-05-13,68.48674774169922
2019-05-14,68.73931884765625
2019-05-15,69.20500183105469
2019-05-16,69.48125457763672
2019-05-17,69.34708404541016
2019-05-20,68.34466552734375
2019-05-21,68.92874145507812
2019-05-22,69.13395690917969
2019-05-23,69.29180908203125
2019-05-24,69.50493621826172
2019-05-28,68.81825256347656
2019-05-29,67.90265655517578
2019-05-30,68.18680572509766
2019-05-31,68.58145141601562
2019-06-03,68.74720764160156
2019-06-04,68.43937683105469
2019-06-05,69.86800384521484
2019-06-06,70.00218963623047
2019-06-07,70.26263427734375
2019-06-10,70.03374481201172
2019-06-11,70.22317504882812
2019-06-12,70.45996856689453
2019-06-13,70.7599105834961
2019-06-14,70.79934692382812
2019-06-17,71.55709838867188
2019-06-18,71.48603820800781
2019-06-19,71.87278747558594
2019-06-20,72.23587799072266
2019-06-21,71.21768188476562
2019-06-24,70.97299194335938
2019-06-25,69.92324829101562
2019-06-26,68.52619171142578
2019-06-27,69.40835571289062
2019-06-28,69.64742279052734
2019-07-01,69.61555480957031
2019-07-02,70.82678985595703
2019-07-03,71.6715087890625
2019-07-05,71.41649627685547
2019-07-08,71.6715087890625
2019-07-09,71.91056823730469
2019-07-10,72.324951171875
2019-07-11,71.38463592529297
2019-07-12,71.28899383544922
2019-07-15,71.23320770263672
2019-07-16,71.06586456298828
2019-07-17,70.82678985595703
2019-07-18,70.82678985595703
2019-07-19,69.67133331298828
2019-07-22,69.60755920410156
2019-07-23,70.39649200439453
2019-07-24,70.45227813720703
2019-07-25,70.03787994384766
2019-07-26,70.35665130615234
2019-07-29,70.54788970947266
2019-07-30,71.11368560791016
2019-07-31,70.83477020263672
2019-08-01,70.83477020263672
2019-08-02,71.17744445800781
2019-08-05,69.77490997314453
2019-08-06,70.54788970947266
2019-08-07,71.23320770263672
2019-08-08,72.48431396484375
2019-08-09,72.39665985107422
2019-08-12,72.20539855957031
2019-08-13,72.30900573730469
2019-08-14,71.20929718017578
2019-08-15,71.91854095458984
2019-08-16,72.65961456298828
2019-08-19,73.18558502197266
2019-08-20,72.66758728027344
2019-08-21,72.97040557861328
2019-08-22,73.30510711669922
2019-08-23,72.2771224975586
2019-08-26,72.8349609375
2019-08-27,72.62775421142578
2019-08-28,72.86681365966797
2019-08-29,73.43260192871094
2019-08-30,73.48838806152344
2019-09-03,74.22152709960938
2019-09-04,74.84307098388672
2019-09-05,74.30120086669922
2019-09-06,74.46855926513672
2019-09-09,74.10993957519531
2019-09-10,73.344970703125
2019-09-11,73.42463684082031
2019-09-12,73.81510925292969
2019-09-13,73.02619171142578
2019-09-16,73.6636962890625
2019-09-17,74.4605941772461
2019-09-18,74.20558166503906
2019-09-19,74.46855926513672
2019-09-20,74.46855926513672
2019-09-23,74.58808135986328
2019-09-24,74.42262268066406
2019-09-25,74.56719207763672
2019-09-26,75.1937484741211
